#a700ff
#ff0c00
#c5ff00
#00ff8c
#0098ff
#00ff5c
#00afff
#c500ff
#ff006b
#00ff62
#00ff86
#00ff16
#ff8800
#00ff7a
#00ff51
#00ff10
#0408ff
#6cff00
#ffe600
#00ff80
#cb00ff
#ff00b7
#fcf500
#78ff00
#ff2300
#0022ff
#ff0088
#1300ff
#ff0082
#20ff00
#00c7ff
#ff8e00
#b300ff
#ffc300
#eeff00
#ffcf00
#49ff00
#d7ff00
#ff3500
#4900ff
#6600ff
#ff6a00
#ff0600
#4fff00
#00ff92
#f8fd00
#ff00cf
#37ff00
#04ff08
#2bff00
#ff5300
#ddff00
#003fff
#0057ff
#55ff00
#ff00e1
#0039ff
#0063ff
#00dfff
#00ff74
#00ffcd
#00c1ff
#00ffa3
#1f00ff
#020cff
#fe00f1
#ff2900
#00ff68
#3d00ff
#ff0041
#004bff
#ff007c
#00ff4b
#00bbff
#ff00a0
#4f00ff
#00fff6
#0069ff
#ffa500
#ff2f00
#fef100
#ffab00
#e2ff00
#0028ff
#ff1200
#ff6400
#ff0053
#31ff00
#7800ff
#ffbd00
#ff0076
#ff7c00
#00d3ff
#00ffea
#9000ff
#61ff00
#ff008e
#ff003b
#a2ff00
#0010ff
#00ff97
#ff002a
#00fcff
#007aff
#1900ff
#0074ff
#00e5ff
#84ff00
#0016ff
#02ff0c
#00ff33
#ff4100
#ffec00
#adff00
#0045ff
#0800ff
#00ffe4
#72ff00
#00ff45
#96ff00
#ff5900
#25ff00
#00ffaf
#ad00ff
#ff1800
#00ff9d
#d1ff00
#f800fd
#8aff00
#ff0035
#ff0024
#00ff1b
#ff00d5
#00f6ff
#ff9a00
#a7ff00
#ff3b00
#ffd500
#ff9f00
#00ffd8
#00ff27
#5400ff
#00f0ff
#5a00ff
#ff00b1
#ff0018
#ffb700
#00ff57
#6000ff
#00cdff
#0092ff
#66ff00
#e800ff
#8a00ff
#0604ff
#0033ff
#ffe000
#ff7000
#00ff6e
#ff00ac
#6c00ff
#d600ff
#ff1e00
#ff5f00
#9500ff
#7e00ff
#ff0065
#14ff00
#cbff00
#ff00a6
#00ffc1
#00ff21
#7eff00
#00ffd3
#00ff39
#00ff2d
#00ffb5
#ff00ed
#0086ff
#ff00c3
#ff005f
#d000ff
#00b5ff
#9b00ff
#ff0030
#ff7600
#ee00ff
#fa00f9
#ff00bd
#08ff00
#00fffc
#ff001e
#3700ff
#ff0000
#3100ff
#00ffbb
#90ff00
#7200ff
#00eaff
#f400ff
#ff0047
#ff004d
#b900ff
#4300ff
#006eff
#43ff00
#f4ff00
#b9ff00
#9cff00
#faf900
#0e00ff
#005dff
#001cff
#fc00f5
#ffc900
#009eff
#008cff
#dc00ff
#ff009a
#ff9400
#b3ff00
#00ffc7
#ff4700
#ff4d00
#bf00ff
#0080ff
#2500ff
#00d9ff
#ff00db
#00aaff
#00ff3f
#ff00e7
#ff0059
#ffb100
#3dff00
#bfff00
#ff8200
#2b00ff
#ff00c9
#1aff00
#00ffa9
#0eff00
#06ff04
#00ffde
#8400ff
#ff0071
#002dff
#e200ff
#5bff00
#ffdb00
#0051ff
#ff0094
#e8ff00
#a100ff
#00a4ff
