Init: GBs in use 1.067, 1.067
Run 117, 0.500047, GBs in use 2.132, 1.068.
Run 118, 0.500028, GBs in use 2.132, 1.068.
Run 119, 0.500086, GBs in use 2.132, 1.068.
Run 120, 0.500026, GBs in use 2.132, 1.068.
Run 121, 0.499986, GBs in use 2.132, 1.068.
Run 122, 0.499930, GBs in use 2.132, 1.068.
Run 123, 0.500021, GBs in use 2.132, 1.068.
Run 124, 0.499964, GBs in use 2.132, 1.068.
Run 125, 0.499982, GBs in use 2.132, 1.068.
Run 126, 0.499975, GBs in use 2.132, 1.068.
Run 127, 0.500002, GBs in use 2.132, 1.068.
Run 128, 0.500026, GBs in use 2.132, 1.068.
Run 129, 0.500012, GBs in use 2.132, 1.068.
Run 130, 0.500003, GBs in use 2.132, 1.068.
Run 131, 0.500014, GBs in use 2.132, 1.068.
Run 132, 0.499975, GBs in use 2.132, 1.068.
Run 133, 0.500018, GBs in use 2.132, 1.068.
Run 134, 0.499982, GBs in use 2.132, 1.068.
Run 135, 0.499968, GBs in use 2.132, 1.068.
Run 136, 0.500035, GBs in use 2.132, 1.068.
Run 137, 0.499970, GBs in use 2.132, 1.068.
Run 138, 0.500005, GBs in use 2.132, 1.068.
Run 139, 0.500014, GBs in use 2.132, 1.068.
Run 140, 0.499930, GBs in use 2.132, 1.068.
Run 141, 0.500044, GBs in use 2.132, 1.068.
Run 142, 0.499915, GBs in use 2.132, 1.068.
Run 143, 0.499975, GBs in use 2.132, 1.068.
Run 144, 0.499995, GBs in use 2.132, 1.068.
Run 145, 0.499978, GBs in use 2.132, 1.068.
Run 146, 0.500058, GBs in use 2.132, 1.068.
Run 147, 0.500088, GBs in use 2.132, 1.068.
Run 148, 0.499993, GBs in use 2.132, 1.068.
Run 149, 0.500005, GBs in use 2.132, 1.068.
Run 150, 0.500019, GBs in use 2.132, 1.068.
Run 151, 0.499912, GBs in use 2.132, 1.068.
Run 152, 0.500015, GBs in use 2.132, 1.068.
Run 153, 0.499920, GBs in use 2.132, 1.068.
Run 154, 0.499980, GBs in use 2.132, 1.068.
Run 155, 0.499825, GBs in use 2.132, 1.068.
Run 156, 0.500064, GBs in use 2.132, 1.068.
Run 157, 0.499983, GBs in use 2.132, 1.068.
Run 158, 0.500039, GBs in use 2.132, 1.068.
Run 159, 0.499975, GBs in use 2.132, 1.068.
Run 160, 0.500078, GBs in use 2.132, 1.068.
Run 161, 0.499936, GBs in use 2.132, 1.068.
Run 162, 0.499984, GBs in use 2.132, 1.068.
Run 163, 0.500005, GBs in use 2.132, 1.068.
Run 164, 0.499952, GBs in use 2.132, 1.068.
Run 165, 0.499989, GBs in use 2.132, 1.068.
Run 166, 0.500039, GBs in use 2.132, 1.068.
Run 167, 0.499992, GBs in use 2.132, 1.068.
Run 168, 0.499988, GBs in use 2.132, 1.068.
Run 169, 0.499983, GBs in use 2.132, 1.068.
Run 170, 0.500009, GBs in use 2.132, 1.068.
Run 171, 0.499931, GBs in use 2.132, 1.068.
Run 172, 0.499938, GBs in use 2.132, 1.068.
Run 173, 0.500045, GBs in use 2.132, 1.068.
Run 174, 0.500047, GBs in use 2.132, 1.068.
Run 175, 0.500069, GBs in use 2.132, 1.068.
Run 176, 0.500025, GBs in use 2.132, 1.068.
Run 177, 0.499982, GBs in use 2.132, 1.068.
Run 178, 0.499972, GBs in use 2.132, 1.068.
Run 179, 0.499999, GBs in use 2.132, 1.068.
Run 180, 0.500032, GBs in use 2.132, 1.068.
Run 181, 0.499980, GBs in use 2.132, 1.068.
Run 182, 0.500085, GBs in use 2.132, 1.068.
Run 183, 0.500007, GBs in use 2.132, 1.068.
Run 184, 0.500033, GBs in use 2.132, 1.068.
Run 185, 0.500033, GBs in use 2.132, 1.068.
Run 186, 0.499924, GBs in use 2.132, 1.068.
Run 187, 0.500039, GBs in use 2.132, 1.068.
Run 188, 0.499994, GBs in use 2.132, 1.068.
Run 189, 0.499981, GBs in use 2.132, 1.068.
Run 190, 0.500020, GBs in use 2.132, 1.068.
Run 191, 0.500050, GBs in use 2.132, 1.068.
Run 192, 0.500061, GBs in use 2.132, 1.068.
Run 193, 0.499870, GBs in use 2.132, 1.068.
Run 194, 0.500005, GBs in use 2.132, 1.068.
Run 195, 0.500003, GBs in use 2.132, 1.068.
Run 196, 0.499954, GBs in use 2.132, 1.068.
Run 197, 0.500017, GBs in use 2.132, 1.068.
Run 198, 0.500010, GBs in use 2.132, 1.068.
Run 199, 0.500000, GBs in use 2.132, 1.068.
Run 200, 0.499969, GBs in use 2.132, 1.068.
Run 201, 0.500023, GBs in use 2.132, 1.068.
Run 202, 0.499939, GBs in use 2.132, 1.068.
Run 203, 0.500030, GBs in use 2.132, 1.068.
Run 204, 0.499963, GBs in use 2.132, 1.068.
